Country/Territory,Edition,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,G4
St. Kitts and Nevis,2013,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,3,3
St. Lucia,2013,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3
St. Vincent and the Grenadines,2013,4,4,3,4,4,4,4,4,3,2,3,4,4,4,4,4,3,3,3,4,3,4,4,3,3
Sudan,2013,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
Suriname,2013,4,4,4,4,4,3,2,4,2,2,3,4,4,4,4,4,3,2,1,3,2,3,2,3,2
Sweden,2013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Switzerland,2013,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3
Syria,2013,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1
Taiwan,2013,4,4,3,4,4,3,4,4,3,3,3,4,3,4,4,4,3,4,3,4,3,4,3,3,3
Tajikistan,2013,0,1,1,1,1,1,1,1,0,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1,1
Tanzania,2013,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,2,2,3,3,3,3,2,2,2
Thailand,2013,3,3,2,3,3,2,1,2,2,1,1,2,3,3,2,2,2,1,2,1,2,3,2,3,2
The Gambia,2013,0,1,1,1,1,1,2,0,0,0,0,2,2,1,1,1,2,0,0,0,1,2,2,1,1
Tibet,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Timor-Leste,2013,4,4,3,3,3,3,3,2,2,2,2,3,4,3,2,3,2,1,1,2,2,3,2,2,2
Togo,2013,1,2,1,2,2,2,2,1,1,2,1,3,2,2,1,2,3,1,2,2,1,2,2,1,2
Tonga,2013,4,4,3,4,4,3,3,2,1,1,3,4,3,3,3,3,2,3,3,3,2,4,3,3,2
Transnistria,2013,1,1,1,1,2,1,1,1,0,1,1,2,1,2,1,1,0,0,0,1,1,2,1,1,1
Trinidad and Tobago,2013,4,4,3,3,4,3,3,4,2,3,4,3,4,4,4,4,3,3,2,2,2,4,3,3,3
Tunisia,2013,3,3,3,3,3,3,3,2,1,2,2,2,2,4,3,3,2,1,1,2,2,2,2,3,2
Turkey,2013,4,4,3,2,3,3,2,3,2,2,1,3,2,3,2,2,3,2,1,2,2,3,3,2,2
Turkmenistan,2013,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0
Tuvalu,2013,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3
Uganda,2013,1,1,1,1,2,1,2,1,1,1,2,3,3,3,1,1,2,2,1,1,2,2,2,1,2
Ukraine,2013,4,2,2,2,2,2,3,2,1,1,2,3,2,3,2,3,3,1,2,2,2,4,2,3,2
United Arab Emirates,2013,0,1,0,0,0,1,1,0,2,0,1,1,1,1,1,0,1,0,2,1,1,1,1,1,1
United Kingdom,2013,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3
United States,2013,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,3
Uruguay,2013,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3
Uzbekistan,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Vanuatu,2013,3,3,3,4,4,4,3,4,2,2,3,4,4,4,4,4,3,2,2,3,3,4,3,2,2
Venezuela,2013,2,2,1,2,2,1,3,1,0,1,1,3,2,3,2,1,1,1,1,1,1,1,1,3,2
Vietnam,2013,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,2,1,3,2
West Bank,2013,0,0,2,1,1,1,2,0,1,1,1,2,2,3,2,2,2,2,2,0,1,1,1,2,1
Western Sahara,2013,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,2,0
Yemen,2013,1,0,2,2,1,0,1,1,1,0,1,2,2,1,1,1,1,1,0,0,1,2,1,1,1
Zambia,2013,3,3,3,2,4,3,3,3,2,2,2,3,3,3,2,2,3,2,2,2,2,3,2,1,2
Zimbabwe,2013,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,1,1
