,country,2013,2014,2015,2016,2017,2018,2019,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,G4,Density (persons per sq. km.),Area (sq. km.),Population,Gdp,V2Peedueq Osp,V2X Feduni,V2Xdd Dd,cluster
247,Ecuador,0,0,0,0,0,1,0,3,3,1,3,2,3,3,3,2,2,2,4,3,3,3,2,2,1,1,2,2,3,2,3,2,59.6,276841,16498502,108000000000.0,2.215,0.937,0.0,0
445,Ecuador,0,0,0,0,1,0,0,3,3,1,3,2,3,3,3,1,2,1,4,3,3,2,2,2,1,1,2,2,3,2,3,2,58.8,276841,16290913,104000000000.0,2.388,0.9490000000000001,0.0,0
643,Ecuador,0,0,0,1,0,0,0,3,3,1,3,2,3,3,3,1,2,1,4,4,3,2,2,3,1,1,2,2,3,2,3,2,58.1,276841,16080778,99937696000.0,2.396,0.917,0.0,0
842,Ecuador,0,0,1,0,0,0,0,3,3,1,3,2,3,3,3,1,2,1,4,4,3,2,2,3,1,1,2,2,3,2,3,2,57.3,276841,15868396,99290381000.0,2.396,0.917,0.0,0
1041,Ecuador,0,1,0,0,0,0,0,3,3,1,3,2,3,3,3,1,2,1,4,4,4,2,2,3,1,1,2,2,3,2,3,2,56.5,276841,15654411,102000000000.0,2.396,0.917,0.0,0
1240,Ecuador,1,0,0,0,0,0,0,3,3,1,3,2,3,3,3,1,2,1,4,4,4,2,2,3,1,1,2,2,3,2,3,2,55.8,276841,15439429,95129659000.0,2.396,0.917,0.0,0
50,Egypt,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,2,2,1,102.2,995450,101776661,303000000000.0,0.574,0.024,0.0,0
248,Egypt,0,0,0,0,0,1,0,1,1,1,1,0,1,2,1,1,1,1,1,1,2,1,0,1,1,1,0,1,1,2,2,1,99.9,995450,99413317,251000000000.0,0.16899999999999998,0.008,0.0,0
446,Egypt,0,0,0,0,1,0,0,1,1,1,1,0,1,2,0,1,1,1,1,1,2,1,1,2,1,0,0,1,1,2,2,1,97.5,995450,97041072,235000000000.0,0.16899999999999998,0.008,0.0,0
644,Egypt,0,0,0,1,0,0,0,1,1,1,1,0,1,2,0,1,1,1,1,1,2,1,1,2,1,0,0,1,2,2,2,1,95.1,995450,94666993,333000000000.0,0.162,0.008,0.0,0
843,Egypt,0,0,1,0,0,0,0,1,0,1,1,0,1,2,0,1,1,1,1,1,2,1,1,2,1,0,0,1,2,2,2,1,92.7,995450,92296970,333000000000.0,0.162,0.008,0.0,0
1042,Egypt,0,1,0,0,0,0,0,0,0,1,2,1,1,2,0,1,1,1,1,1,3,1,1,2,2,0,1,1,3,2,2,1,90.4,995450,89959189,306000000000.0,0.397,0.018000000000000002,0.0,0
249,El Salvador,0,0,0,0,0,1,0,4,3,4,4,4,3,3,3,3,3,2,4,3,3,3,3,2,3,2,1,2,2,2,2,2,307.3,20721,6368351,26117400000.0,0.875,0.441,0.0,0
447,El Salvador,0,0,0,0,1,0,0,4,3,4,4,4,3,3,3,3,3,2,4,3,3,3,3,2,3,2,1,2,2,2,2,2,304.2,20721,6304028,24979200000.0,0.868,0.446,0.0,0
645,El Salvador,0,0,0,1,0,0,0,4,3,3,4,4,3,3,3,3,3,2,4,3,3,3,3,2,3,2,1,2,2,2,2,2,301.6,20721,6248422,24191440000.0,0.927,0.452,0.0,0
844,El Salvador,0,0,1,0,0,0,0,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,2,3,2,1,2,3,2,2,2,299.5,20721,6205417,23438240000.0,0.938,0.455,0.0,0
1043,El Salvador,0,1,0,0,0,0,0,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,2,3,2,2,2,4,2,2,2,298.2,20721,6178560,22593480000.0,0.938,0.455,0.0,0
1242,El Salvador,1,0,0,0,0,0,0,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,2,3,2,2,2,4,2,2,2,295.4,20721,6120762,21990970000.0,0.938,0.455,0.0,0
250,Equatorial Guinea,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,28.4,28051,797457,13278488567.0,1.453,0.0,0.16399999999999998,0
448,Equatorial Guinea,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,0,27.7,28051,778358,12200914930.0,1.284,0.0,0.17600000000000002,0
646,Equatorial Guinea,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,0,27.1,28051,759451,11240809132.0,1.255,0.0,0.188,0
845,Equatorial Guinea,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,0,26.4,28051,740743,13185496836.0,1.255,0.0,0.2,0
1044,Equatorial Guinea,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,0,25.7,28051,722254,21765454404.0,1.063,0.0,0.2,0
1243,Equatorial Guinea,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,0,25.1,28051,704001,21948835350.0,1.063,0.0,0.2,0
252,Estonia,0,0,0,0,0,1,0,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,29.4,42388,1244288,30747159198.0,3.822,0.49200000000000005,0.08,0
450,Estonia,0,0,0,0,1,0,0,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,29.5,42388,1251581,26859101054.0,3.822,0.49200000000000005,0.09,0
648,Estonia,0,0,0,1,0,0,0,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,29.7,42388,1258545,23996451498.0,3.806,0.49200000000000005,0.1,0
847,Estonia,0,0,1,0,0,0,0,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,29.9,42388,1265420,23048864243.0,3.813,0.49200000000000005,0.111,0
1046,Estonia,0,1,0,0,0,0,0,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,30.0,42388,1272468,26773472962.0,3.813,0.49200000000000005,0.122,0
1245,Estonia,1,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,30.2,42388,1279745,25271407239.0,3.813,0.49200000000000005,0.132,0
253,Eswatini,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,63.2,17204,1087200,4710618470.0,1.297,0.359,0.013000000000000001,0
451,Eswatini,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,0,1,1,1,1,1,1,1,1,1,1,62.7,17204,1078215,4446248676.0,1.5219999999999998,0.38,0.013000000000000001,0
649,Eswatini,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,0,1,1,1,1,1,1,1,1,1,1,62.1,17204,1069060,3840677845.0,1.464,0.392,0.013000000000000001,0
848,Eswatini,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,0,1,1,2,1,1,1,1,1,1,1,61.6,17204,1059815,4073390990.0,1.464,0.392,0.013000000000000001,0
1047,Eswatini,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,2,0,1,1,2,1,1,1,1,1,1,1,61.1,17204,1050527,4422304975.0,1.464,0.392,0.013000000000000001,0
1246,Eswatini,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,2,0,1,2,2,1,1,1,1,1,1,1,60.5,17204,1041209,4597702903.0,1.464,0.392,0.013000000000000001,0
254,Ethiopia,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,93.6,1096570,102677069,84269348327.0,1.113,0.184,0.0,0
452,Ethiopia,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,91.2,1096570,99964615,81770791971.0,1.087,0.165,0.0,0
650,Ethiopia,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,0,0,0,1,1,0,1,2,1,1,1,88.7,1096570,97267610,74296618481.0,1.145,0.15,0.0,0
849,Ethiopia,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,2,1,0,0,0,0,1,1,0,1,2,1,1,1,86.3,1096570,94621159,64589334979.0,1.003,0.179,0.0,0
1048,Ethiopia,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,2,1,0,0,0,0,1,1,0,1,2,1,1,1,83.8,1096570,91942495,55612228234.0,1.003,0.179,0.0,0
1247,Ethiopia,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,2,1,0,0,0,0,1,1,0,1,2,1,1,1,81.5,1096570,89333993,47648211133.0,1.003,0.177,0.0,0
57,Fiji,0,0,0,0,0,0,1,3,2,3,3,1,2,3,3,2,2,2,4,3,3,3,3,2,2,1,2,2,3,3,2,2,51.0,18274,931295,5535548972.0,2.3409999999999997,0.0,0.006999999999999999,0
255,Fiji,0,0,0,0,0,1,0,3,2,3,3,1,2,3,3,2,2,2,4,3,3,2,2,2,2,1,2,2,3,3,2,2,50.7,18274,926276,5536759653.0,2.659,0.0,0.006999999999999999,0
453,Fiji,0,0,0,0,1,0,0,3,2,3,3,1,3,3,3,2,2,2,4,3,3,1,2,2,2,1,2,2,3,3,2,2,50.4,18274,920938,5353404422.0,2.681,0.0,0.006999999999999999,0
651,Fiji,0,0,0,1,0,0,0,3,3,3,3,2,3,3,3,2,2,2,3,3,3,2,2,1,2,2,3,2,3,3,2,2,50.1,18274,915303,4930204230.0,2.6830000000000003,0.0,0.006999999999999999,0
850,Fiji,0,0,1,0,0,0,0,3,3,3,3,2,3,3,3,2,1,2,3,3,3,2,1,1,2,2,3,2,3,3,2,2,49.8,18274,909389,4682546863.0,2.603,0.0,0.006999999999999999,0
